dataset	duplicates	coverage_depth	coverage_breadth
EHI02064	0.103332	0.022	1.29
EHI02065	0.025825	0	0
EHI02066	0.086161	0.002	0.12
EHI02067	0.063091	0	0.01
EHI02068	0.11971	0.15	8.57
EHI02069	0.118657	0.006	0.39
EHI02070	0.103475	0.153	8.13
EHI02071	0.088767	0.129	7.19
EHI02072	0.174886	0.237	13.76
EHI02073	0.059633	0	0
EHI02074	0.108527	0.002	0.11
EHI02075	0.140486	0.001	0.06
EHI02076	0.144291	0.004	0.21
EHI02077	0.13872	0.011	0.54
EHI02078	0.110008	0.116	5.15
EHI02079	0.052615	0	0
EHI02080	0.171557	0.118	5.27
EHI02081	0.252763	1.16	42.99
EHI02082	0.162075	0.028	1.62
EHI02083	0.217469	0.23	11.08
EHI02084	0.178637	2.443	68.56
EHI02085	0.425564	0.001	0.01
EHI02086	0.147651	0	0
EHI02087	0.270335	0.055	2.43
EHI02088	0.142481	0	0
EHI02089	0.266677	0.129	5.56
EHI02090	0.245151	0.179	7.91
EHI02091	0.225598	0.151	8.08
EHI02092	0.232697	0.007	0.31
EHI02093	0.180743	0.028	1.25
EHI02094	0.429087	0.092	3.67
EHI02095	0.559656	0.001	0.01
EHI02096	0.332323	0.095	3.59
EHI02097	0.104643	0	0
EHI02098	0.494501	0.039	1.1
EHI02099	0.302207	0.057	1.9
EHI02100	0.178878	0.001	0.05
EHI02101	0.068331	0	0
EHI02102	0.587916	0.678	17.33
EHI02103	0.385976	0.043	1.13
EHI02104	0.47675	0	0
EHI02105	0.235605	0	0.01
EHI02106	0	0	0
EHI02107	0	0	0
EHI02108	0.488178	1.942	36.59
EHI02109	0.289779	0	0.01
EHI02110	0.063763	0	0
EHI02111	0.706304	0.671	11.94
EHI02112	0.862499	0.929	7.23
EHI02113	0.755114	0.01	0.14
EHI02114	0.193717	0	0
EHI02115	0.470313	0	0
EHI02116	0.189173	0	0
EHI02117	0.94202	1.192	3.4
EHI02118	0.90032	3.162	16.53
EHI02119	0.850057	0.003	0.02
EHI02120	0.872846	0.047	0.31
EHI02121	0.86303	1.048	6.76
EHI02122	0.84255	1.287	7.42
EHI02123	0.84539	0.002	0.01
EHI02124	0.921024	0.494	1.7
EHI02125	0.968989	1.371	1.62
EHI02126	0.93205	0.041	0.14
EHI02127	0.951995	0.207	0.41
EHI02128	0.696625	0	0
EHI02129	0.933086	0	0
EHI02130	0.94062	0	0
EHI02131	0.988138	1.966	1.18
EHI02132	0.964026	0.077	0.09
EHI02133	0.967286	0.285	0.37
EHI02134	0.934918	0.202	0.52
EHI02135	0.956083	0.001	0
EHI02136	0.950404	0.004	0.01
EHI02137	0.266061	0.01	0.33
EHI02138	0.933962	0	0
EHI02139	0.913043	0	0
EHI02140	0.952862	0.102	0.2
EHI02141	0.985782	0	0
EHI02142	0.787675	0.059	0.51
EHI02143	0.985507	0	0
