Dataset	Library	Species	Taxon	Sample	Extraction	Accession
EHI02065	AJP52E1L1I1	Calotriton asper	Amphibian	AJP52	DREX1	ERR13998529
EHI02088	AJP51E1L1I1	Calotriton asper	Amphibian	AJP51	DREX1	ERR14026134
EHI02097	AJP52E2L1I1	Calotriton asper	Amphibian	AJP52	ZYMO	ERR14031506
EHI02105	AJP51E2L1I1	Calotriton asper	Amphibian	AJP51	ZYMO	ERR13998523
EHI02067	AJP51E3L1I1	Calotriton asper	Amphibian	AJP51	DREX2	ERR14031504
EHI02079	AJP52E3L1I1	Calotriton asper	Amphibian	AJP52	DREX2	ERR14031505
EHI02095	AGO69E1L1I1	Lissotriton helveticus	Amphibian	AGO69	DREX1	ERR14048181
EHI02115	AAQ18E1L1I1	Lissotriton helveticus	Amphibian	AAQ18	DREX1	ERR14048325
EHI02104	AGO69E2L1I1	Lissotriton helveticus	Amphibian	AGO69	ZYMO	ERR14048348
EHI02128	AAQ18E2L1I1	Lissotriton helveticus	Amphibian	AAQ18	ZYMO	ERR13998747
EHI02085	AGO69E3L1I1	Lissotriton helveticus	Amphibian	AGO69	DREX2	ERR13998684
EHI02109	AAQ18E3L1I1	Lissotriton helveticus	Amphibian	AAQ18	DREX2	ERR14048303
EHI02073	ABD27E1L1I1	Salamandra atra	Amphibian	ABD27	DREX1	ERR14654113
EHI02101	ABE10E1L1I1	Salamandra atra	Amphibian	ABE10	DREX1	ERR14654112
EHI02114	ABD27E2L1I1	Salamandra atra	Amphibian	ABD27	ZYMO	ERR14654116
EHI02116	ABE10E2L1I1	Salamandra atra	Amphibian	ABE10	ZYMO	ERR14654114
EHI02086	ABD27E3L1I1	Salamandra atra	Amphibian	ABD27	DREX2	ERR14654115
EHI02110	ABE10E3L1I1	Salamandra atra	Amphibian	ABE10	DREX2	ERR14654118
EHI02124	AGI59E1L1I1	Geospizopsis unicolor	Bird	AGI59	DREX1	ERR14656776
EHI02125	AGI58E1L1I1	Geospizopsis unicolor	Bird	AGI58	DREX1	ERR14656577
EHI02133	AGI59E2L1I1	Geospizopsis unicolor	Bird	AGI59	ZYMO	ERR14656815
EHI02137	AGI58E2L1I1	Geospizopsis unicolor	Bird	AGI58	ZYMO	ERR14657202
EHI02121	AGI59E3L1I1	Geospizopsis unicolor	Bird	AGI59	DREX2	ERR14657207
EHI02122	AGI58E3L1I1	Geospizopsis unicolor	Bird	AGI58	DREX2	ERR14657203
EHI02111	AIV55E1L1I1	Perisoreus infaustus	Bird	AIV55	DREX1	ERR14654255
EHI02142	AGZ59E1L1I1	Perisoreus infaustus	Bird	AGZ59	DREX1	ERR14654252
EHI02103	AGZ59E2L1I1	Perisoreus infaustus	Bird	AGZ59	ZYMO	ERR14551591
EHI02131	AIV55E2L1I1	Perisoreus infaustus	Bird	AIV55	ZYMO	ERR14654257
EHI02099	AGZ59E3L1I1	Perisoreus infaustus	Bird	AGZ59	DREX2	ERR14654253
EHI02107	AIV55E3L1I1	Perisoreus infaustus	Bird	AIV55	DREX2	ERR14551590
EHI02117	AGI41E1L1I1	Zonotrichia capensis	Bird	AGI41	DREX1	ERR14657201
EHI02140	AGI42E1L1I1	Zonotrichia capensis	Bird	AGI42	DREX1	ERR14656725
EHI02127	AGI41E2L1I1	Zonotrichia capensis	Bird	AGI41	ZYMO	ERR14656729
EHI02132	AGI42E2L1I1	Zonotrichia capensis	Bird	AGI42	ZYMO	ERR14656704
EHI02108	AGI41E3L1I1	Zonotrichia capensis	Bird	AGI41	DREX2	ERR14656574
EHI02134	AGI42E3L1I1	Zonotrichia capensis	Bird	AGI42	DREX2	ERR14656581
EHI02130	C1_EXB0076E1L1I1	Extraction control	Control	C1_EXB0076	DREX1	NA
EHI02136	C2_EXB0076E1L1I1	Extraction control	Control	C2_EXB0076	DREX1	NA
EHI02129	C2_EXB0076E2L1I1	Extraction control	Control	C2_EXB0076	ZYMO	NA
EHI02141	C1_EXB0076E2L1I1	Extraction control	Control	C1_EXB0076	ZYMO	NA
EHI02135	C1_EXB0076E3L1I1	Extraction control	Control	C1_EXB0076	DREX2	NA
EHI02143	C2_EXB0076E3L1I1	Extraction control	Control	C2_EXB0076	DREX2	ERR14657198
EHI02138	C1_LIB0072E1L1I1	Library control	Control	C1_LIB0072	DREX1	NA
EHI02139	C2_LIB0072E1L1I1	Library control	Control	C2_LIB0072	DREX1	NA
EHI02081	ACB61E1L1I1	Plecotus auritus	Mammal	ACB61	DREX1	ERR14656781
EHI02087	ACB56E1L1I1	Plecotus auritus	Mammal	ACB56	DREX1	ERR14656590
EHI02112	ACB56E2L1I1	Plecotus auritus	Mammal	ACB56	ZYMO	ERR14657200
EHI02118	ACB61E2L1I1	Plecotus auritus	Mammal	ACB61	ZYMO	ERR14657199
EHI02084	ACB61E3L1I1	Plecotus auritus	Mammal	ACB61	DREX2	ERR14656588
EHI02090	ACB56E3L1I1	Plecotus auritus	Mammal	ACB56	DREX2	ERR14656582
EHI02068	AAZ65E1L1I1	Sciurus carolinensis	Mammal	AAZ65	DREX1	ERR14047970
EHI02080	ABA95E1L1I1	Sciurus carolinensis	Mammal	ABA95	DREX1	ERR14047978
EHI02089	AAZ65E2L1I1	Sciurus carolinensis	Mammal	AAZ65	ZYMO	ERR14654608
EHI02096	ABA95E2L1I1	Sciurus carolinensis	Mammal	ABA95	ZYMO	ERR14654615
EHI02070	AAZ65E3L1I1	Sciurus carolinensis	Mammal	AAZ65	DREX2	ERR13998814
EHI02078	ABA95E3L1I1	Sciurus carolinensis	Mammal	ABA95	DREX2	ERR13998698
EHI02082	AEC24E1L1I1	Trichosurus vulpecula	Mammal	AEC24	DREX1	ERR14032200
EHI02100	AEC23E1L1I1	Trichosurus vulpecula	Mammal	AEC23	DREX1	ERR14032301
EHI02064	AEC24E2L1I1	Trichosurus vulpecula	Mammal	AEC24	ZYMO	ERR13998688
EHI02074	AEC23E2L1I1	Trichosurus vulpecula	Mammal	AEC23	ZYMO	ERR13998681
EHI02098	AEC24E3L1I1	Trichosurus vulpecula	Mammal	AEC24	DREX2	ERR14032199
EHI02106	AEC23E3L1I1	Trichosurus vulpecula	Mammal	AEC23	DREX2	ERR14032299
EHI02075	AHW91E1L1I1	Chalcides striatus	Reptile	AHW91	DREX1	ERR14656578
EHI02123	AHW95E1L1I1	Chalcides striatus	Reptile	AHW95	DREX1	ERR14656584
EHI02066	AHW95E2L1I1	Chalcides striatus	Reptile	AHW95	ZYMO	ERR14656575
EHI02113	AHW91E2L1I1	Chalcides striatus	Reptile	AHW91	ZYMO	ERR14657204
EHI02092	AHW91E3L1I1	Chalcides striatus	Reptile	AHW91	DREX2	ERR14657214
EHI02119	AHW95E3L1I1	Chalcides striatus	Reptile	AHW95	DREX2	ERR14656706
EHI02069	AFO83E1L1I1	Natrix astreptophora	Reptile	AFO83	DREX1	ERR14656579
EHI02076	AHU97E1L1I1	Natrix astreptophora	Reptile	AHU97	DREX1	ERR14656724
EHI02077	AHU97E2L1I1	Natrix astreptophora	Reptile	AHU97	ZYMO	ERR14656583
EHI02126	AFO83E2L1I1	Natrix astreptophora	Reptile	AFO83	ZYMO	ERR14656591
EHI02093	AFO83E3L1I1	Natrix astreptophora	Reptile	AFO83	DREX2	ERR14656778
EHI02120	AHU97E3L1I1	Natrix astreptophora	Reptile	AHU97	DREX2	ERR14656820
EHI02072	AFV20E1L1I1	Podarcis muralis	Reptile	AFV20	DREX1	ERR14657205
EHI02094	AFV18E1L1I1	Podarcis muralis	Reptile	AFV18	DREX1	ERR14656589
EHI02083	AFV18E2L1I1	Podarcis muralis	Reptile	AFV18	ZYMO	ERR14657206
EHI02102	AFV20E2L1I1	Podarcis muralis	Reptile	AFV20	ZYMO	ERR14656705
EHI02071	AFV18E3L1I1	Podarcis muralis	Reptile	AFV18	DREX2	ERR14656585
EHI02091	AFV20E3L1I1	Podarcis muralis	Reptile	AFV20	DREX2	ERR14657208
