first	second	richness	neutral	phylogenetic
EHI02088	EHI02079	0.25233644859813076	0.36991600669232216	0.10495498997358921
EHI02088	EHI02067	0.0046511627906977715	0.0023040403293113076	0.0013024868172750725
EHI02088	EHI02105	0.09644670050761417	0.02076422539684708	0.004612685582625842
EHI02088	EHI02097	0.25233644859813076	0.36753203833670123	0.10312329407787302
EHI02088	EHI02065	0.25233644859813076	0.369546689865207	0.10389382840319983
EHI02079	EHI02067	0.2582159624413145	0.367779489493967	0.10314482141686032
EHI02079	EHI02105	0.37435897435897436	0.4115622115593731	0.11234122592833318
EHI02079	EHI02097	0	0.0016617942214053327	6.443360226326966e-4
EHI02079	EHI02065	0	2.84224558728563e-4	1.0320603727442812e-4
EHI02067	EHI02105	0.09183673469387754	0.018737730484318815	0.0033504613377522974
EHI02067	EHI02097	0.2582159624413145	0.3656227753391905	0.10135508558866158
EHI02067	EHI02065	0.2582159624413145	0.3675508450065017	0.10225251496170562
EHI02105	EHI02097	0.37435897435897436	0.407472126068259	0.10964318541822182
EHI02105	EHI02065	0.37435897435897436	0.4109211516798904	0.11125934940763627
EHI02097	EHI02065	0	0.001115912915503392	4.294005941392065e-4
