first	second	richness	neutral	phylogenetic
EHI02094	EHI02083	0.022727272727272707	0.012444710535479797	0.00537767670065159
EHI02094	EHI02072	0.21739130434782616	0.4068501137561664	0.1188137097762827
EHI02094	EHI02102	0.2810457516339868	0.41300562154450626	0.13111995801529175
EHI02094	EHI02091	0.34246575342465757	0.4255899126922619	0.12079895482070335
EHI02094	EHI02071	0	0.0013125103353315293	7.055614904670771e-4
EHI02083	EHI02072	0.23636363636363633	0.40954791368903076	0.11841785897663282
EHI02083	EHI02102	0.2993630573248407	0.41414729352394186	0.12888126628263885
EHI02083	EHI02091	0.3600000000000001	0.4294850799991391	0.12143213683645815
EHI02083	EHI02071	0.022727272727272707	0.0105512023043971	0.004256282083614726
EHI02072	EHI02102	0.05633802816901401	0.008789676480899122	0.002921464375212679
EHI02072	EHI02091	0.11111111111111116	0.008579493333977006	0.00204835797049685
EHI02072	EHI02071	0.21739130434782616	0.4045280573624418	0.11783691169500288
EHI02102	EHI02091	0.055118110236220375	0.012666507380823755	0.004896005494023137
EHI02102	EHI02071	0.2810457516339868	0.4092963829695263	0.1289212475942908
EHI02091	EHI02071	0.34246575342465757	0.4242701094386794	0.12061617057117224
