first	second	richness	neutral	phylogenetic
EHI02100	EHI02082	0.5643564356435644	0.6374272181510326	0.2926934070307742
EHI02100	EHI02074	0.3793103448275863	0.0772033582869216	0.02683328170340593
EHI02100	EHI02064	0.5490196078431373	0.6234121868859179	0.27801353525776773
EHI02100	EHI02098	0.595959595959596	0.6397869167151868	0.2926180647079154
EHI02082	EHI02074	0.17910447761194037	0.5006898666280939	0.2553551920179855
EHI02082	EHI02064	0.006711409395973256	0.017606684266913697	0.007765316822458512
EHI02082	EHI02098	0.013698630136986356	0.005045968407999424	0.0016745887024272044
EHI02074	EHI02064	0.17037037037037028	0.4724289325890656	0.23254180202812746
EHI02074	EHI02098	0.19696969696969702	0.5014641563290094	0.25383953806303416
EHI02064	EHI02098	0.020408163265306145	0.010166980899953493	0.004422727261925941
